Majority.protein.IDs	Gene.names	razorUniqueCount	razorUniqueCount_MIAPACA...AG205.1	razorUniqueCount_MIAPACA...AG205.2	razorUniqueCount_MIAPACA...AG205.3	razorUniqueCount_MIAPACA...AG205.4	razorUniqueCount_MIAPACA...AG205.5	razorUniqueCount_MIAPACA.1	razorUniqueCount_MIAPACA.2	razorUniqueCount_MIAPACA.3	razorUniqueCount_MIAPACA.4	razorUniqueCount_MIAPACA.5	razorUniqueCount_wt...AG205.1	razorUniqueCount_wt...AG205.2	razorUniqueCount_wt...AG205.3	razorUniqueCount_wt...AG205.4	razorUniqueCount_wt...AG205.5	razorUniqueCount_wt.1	razorUniqueCount_wt.2	razorUniqueCount_wt.3	razorUniqueCount_wt.4	razorUniqueCount_wt.5	RawIntensity_MIAPACA...AG205.1	RawIntensity_MIAPACA...AG205.2	RawIntensity_MIAPACA...AG205.3	RawIntensity_MIAPACA...AG205.4	RawIntensity_MIAPACA...AG205.5	RawIntensity_MIAPACA.1	RawIntensity_MIAPACA.2	RawIntensity_MIAPACA.3	RawIntensity_MIAPACA.4	RawIntensity_MIAPACA.5	RawIntensity_wt...AG205.1	RawIntensity_wt...AG205.2	RawIntensity_wt...AG205.3	RawIntensity_wt...AG205.4	RawIntensity_wt...AG205.5	RawIntensity_wt.1	RawIntensity_wt.2	RawIntensity_wt.3	RawIntensity_wt.4	RawIntensity_wt.5	iBAQ_MIAPACA...AG205.1	iBAQ_MIAPACA...AG205.2	iBAQ_MIAPACA...AG205.3	iBAQ_MIAPACA...AG205.4	iBAQ_MIAPACA...AG205.5	iBAQ_MIAPACA.1	iBAQ_MIAPACA.2	iBAQ_MIAPACA.3	iBAQ_MIAPACA.4	iBAQ_MIAPACA.5	iBAQ_wt...AG205.1	iBAQ_wt...AG205.2	iBAQ_wt...AG205.3	iBAQ_wt...AG205.4	iBAQ_wt...AG205.5	iBAQ_wt.1	iBAQ_wt.2	iBAQ_wt.3	iBAQ_wt.4	iBAQ_wt.5	LFQIntensity_MIAPACA...AG205.1	LFQIntensity_MIAPACA...AG205.2	LFQIntensity_MIAPACA...AG205.3	LFQIntensity_MIAPACA...AG205.4	LFQIntensity_MIAPACA...AG205.5	LFQIntensity_MIAPACA.1	LFQIntensity_MIAPACA.2	LFQIntensity_MIAPACA.3	LFQIntensity_MIAPACA.4	LFQIntensity_MIAPACA.5	LFQIntensity_wt...AG205.1	LFQIntensity_wt...AG205.2	LFQIntensity_wt...AG205.3	LFQIntensity_wt...AG205.4	LFQIntensity_wt...AG205.5	LFQIntensity_wt.1	LFQIntensity_wt.2	LFQIntensity_wt.3	LFQIntensity_wt.4	LFQIntensity_wt.5	spectraCount_MIAPACA...AG205.1	spectraCount_MIAPACA...AG205.2	spectraCount_MIAPACA...AG205.3	spectraCount_MIAPACA...AG205.4	spectraCount_MIAPACA...AG205.5	spectraCount_MIAPACA.1	spectraCount_MIAPACA.2	spectraCount_MIAPACA.3	spectraCount_MIAPACA.4	spectraCount_MIAPACA.5	spectraCount_wt...AG205.1	spectraCount_wt...AG205.2	spectraCount_wt...AG205.3	spectraCount_wt...AG205.4	spectraCount_wt...AG205.5	spectraCount_wt.1	spectraCount_wt.2	spectraCount_wt.3	spectraCount_wt.4	spectraCount_wt.5	spectraCount	Potential.contaminant
1	A0AVT1	UBA6	2	1	0	2	1	2	1	1	2	0	0	1	1	1	1	1	0	1	1	1	0	5375600	0	8502500	3158000	9348300	2036000	1172900	5584600	0	0	4096400	4961200	3256200	2972700	2587800	0	3445900	5258000	2696300	0	95993	0	151830	56393	166930	36358	20945	99724	0	0	73150	88593	58147	53084	46211	0	61534	93893	48148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
2	A0FGR8	ESYT2	5	5	3	4	2	2	5	5	5	5	4	4	3	2	2	4	3	2	3	3	2	80673000	43962000	57157000	34505000	32552000	88823000	79098000	90660000	52431000	55168000	55247000	53153000	18905000	15481000	57644000	69169000	32106000	62409000	46151000	24080000	1753800	955700	1242500	750100	707650	1930900	1719500	1970900	1139800	1199300	1201000	1155500	410970	336540	1253100	1503700	697960	1356700	1003300	523470	15948000	20192000	17132000	18878000	13889000	24256000	23103000	27510000	21829000	23873000	16988000	20325000	16282000	0	22636000	16703000	0	13288000	13147000	11921000	2	2	2	2	0	5	4	2	3	3	2	0	1	1	3	0	0	0	1	0	33	
3	A1L390	PLEKHG3	2	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	2	2	2	1	1	0	0	5938300	4498400	0	4084200	0	0	3682800	0	0	4969400	4215000	5989800	3595400	27870000	21281000	17621000	10976000	7363800	0	0	106040	80328	0	72933	0	0	65764	0	0	88740	75267	106960	64204	497680	380010	314670	195990	131500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10245000	6669900	6248600	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	1	0	0	8	
4	A2RUR9;Q8IYA2	CCDC144A;CCDC144CP	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	78630000	135510000	99262000	0	87683000	0	66422000	76572000	81804000	53696000	80169000	79317000	243290000	7714400	12170000	30092000	18259000	36335000	46484000	0	947350	1632700	1195900	0	1056400	0	800270	922550	985590	646940	965890	955620	2931300	92945	146620	362560	219990	437770	560050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	8	
5	A5A3E0;P0CG38	POTEF;POTEI	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	8943900	7664900	10458000	0	26122000	10709000	3996300	5359400	0	9647300	10181000	18591000	0	5551000	14013000	31844000	17906000	13354000	19963000	23448000	165630	141940	193670	0	483730	198320	74006	99248	0	178650	188530	344280	0	102800	259510	589700	331600	247300	369690	434220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	7	
6	A6NCE7;Q9GZQ8;Q9H492	MAP1LC3B2;MAP1LC3B;MAP1LC3A	2	2	2	2	2	2	1	0	0	0	0	2	2	2	2	2	0	0	0	0	0	256010000	116650000	205780000	150640000	328180000	3644100	0	0	0	0	270730000	297890000	157350000	292340000	383620000	0	0	0	0	0	64002000	29162000	51445000	37659000	82044000	911020	0	0	0	0	67682000	74473000	39337000	73086000	95905000	0	0	0	0	0	132500000	119040000	77940000	51307000	156540000	0	0	0	0	0	175690000	161580000	105290000	139200000	243850000	0	0	0	0	0	3	1	1	1	2	0	0	0	0	0	2	3	1	2	3	0	0	0	0	0	19	
7	A6NEL3	FAM86C2P	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	18353000	24118000	22406000	24049000	22585000	0	19281000	18950000	13322000	24999000	45953000	37508000	43319000	34773000	0	0	0	9592800	5868000	0	1835300	2411800	2240600	2404900	2258500	0	1928100	1895000	1332200	2499900	4595300	3750800	4331900	3477300	0	0	0	959280	586800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	2	0	0	0	0	0	0	8	
8	A6NHQ2	FBLL1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	48355000	0	50365000	38019000	0	50687000	59391000	46783000	62455000	59615000	23708000	0	28323000	0	26925000	0	0	0	54079000	54393000	2545000	0	2650800	2001000	0	2667800	3125900	2462300	3287100	3137600	1247800	0	1490700	0	1417100	0	0	0	2846300	2862800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7	
9	A6NHR9	SMCHD1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	15766000	11179000	8523700	15508000	18075000	14986000	13390000	17846000	7366100	19631000	8507900	11811000	5930100	10939000	2945800	21852000	21248000	17546000	13878000	4993700	144640	102560	78199	142270	165820	137490	122840	163720	67579	180100	78054	108360	54405	100360	27026	200480	194930	160970	127320	45814	6890800	6342600	0	8003500	6522900	9939500	10215000	12535000	0	11806000	4629900	6190800	0	4985100	0	7054900	6499800	5737700	5291800	0	1	1	0	1	0	2	2	2	2	2	0	1	0	0	0	1	1	1	0	0	17	
10	A8K8V0	ZNF785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	223400000	118040000	162100000	120010000	125930000	200280000	135370000	134770000	142660000	151460000	88642000	101200000	101640000	102690000	69131000	142410000	124910000	130200000	88365000	85153000	8592200	4540200	6234700	4615900	4843300	7702900	5206500	5183500	5487000	5825400	3409300	3892500	3909300	3949700	2658900	5477400	4804400	5007500	3398600	3275100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	15	
