Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	MIAPACA_1 Spectral Count	MIAPACA_2 Spectral Count	MIAPACA_3 Spectral Count	MIAPACA_4 Spectral Count	MIAPACA_5 Spectral Count	MIAPACA_AG205_1 Spectral Count	MIAPACA_AG205_2 Spectral Count	MIAPACA_AG205_3 Spectral Count	MIAPACA_AG205_4 Spectral Count	MIAPACA_AG205_5 Spectral Count	PGRMC1_1 Spectral Count	PGRMC1_2 Spectral Count	PGRMC1_3 Spectral Count	PGRMC1_4 Spectral Count	PGRMC1_5 Spectral Count	PGRMC1_AG205_1 Spectral Count	PGRMC1_AG205_2 Spectral Count	PGRMC1_AG205_3 Spectral Count	PGRMC1_AG205_4 Spectral Count	PGRMC1_AG205_5 Spectral Count	MIAPACA_1 Unique Spectral Count	MIAPACA_2 Unique Spectral Count	MIAPACA_3 Unique Spectral Count	MIAPACA_4 Unique Spectral Count	MIAPACA_5 Unique Spectral Count	MIAPACA_AG205_1 Unique Spectral Count	MIAPACA_AG205_2 Unique Spectral Count	MIAPACA_AG205_3 Unique Spectral Count	MIAPACA_AG205_4 Unique Spectral Count	MIAPACA_AG205_5 Unique Spectral Count	PGRMC1_1 Unique Spectral Count	PGRMC1_2 Unique Spectral Count	PGRMC1_3 Unique Spectral Count	PGRMC1_4 Unique Spectral Count	PGRMC1_5 Unique Spectral Count	PGRMC1_AG205_1 Unique Spectral Count	PGRMC1_AG205_2 Unique Spectral Count	PGRMC1_AG205_3 Unique Spectral Count	PGRMC1_AG205_4 Unique Spectral Count	PGRMC1_AG205_5 Unique Spectral Count	MIAPACA_1 Total Spectral Count	MIAPACA_2 Total Spectral Count	MIAPACA_3 Total Spectral Count	MIAPACA_4 Total Spectral Count	MIAPACA_5 Total Spectral Count	MIAPACA_AG205_1 Total Spectral Count	MIAPACA_AG205_2 Total Spectral Count	MIAPACA_AG205_3 Total Spectral Count	MIAPACA_AG205_4 Total Spectral Count	MIAPACA_AG205_5 Total Spectral Count	PGRMC1_1 Total Spectral Count	PGRMC1_2 Total Spectral Count	PGRMC1_3 Total Spectral Count	PGRMC1_4 Total Spectral Count	PGRMC1_5 Total Spectral Count	PGRMC1_AG205_1 Total Spectral Count	PGRMC1_AG205_2 Total Spectral Count	PGRMC1_AG205_3 Total Spectral Count	PGRMC1_AG205_4 Total Spectral Count	PGRMC1_AG205_5 Total Spectral Count	MIAPACA_1 Intensity	MIAPACA_2 Intensity	MIAPACA_3 Intensity	MIAPACA_4 Intensity	MIAPACA_5 Intensity	MIAPACA_AG205_1 Intensity	MIAPACA_AG205_2 Intensity	MIAPACA_AG205_3 Intensity	MIAPACA_AG205_4 Intensity	MIAPACA_AG205_5 Intensity	PGRMC1_1 Intensity	PGRMC1_2 Intensity	PGRMC1_3 Intensity	PGRMC1_4 Intensity	PGRMC1_5 Intensity	PGRMC1_AG205_1 Intensity	PGRMC1_AG205_2 Intensity	PGRMC1_AG205_3 Intensity	PGRMC1_AG205_4 Intensity	PGRMC1_AG205_5 Intensity	MIAPACA_1 Unique Intensity	MIAPACA_2 Unique Intensity	MIAPACA_3 Unique Intensity	MIAPACA_4 Unique Intensity	MIAPACA_5 Unique Intensity	MIAPACA_AG205_1 Unique Intensity	MIAPACA_AG205_2 Unique Intensity	MIAPACA_AG205_3 Unique Intensity	MIAPACA_AG205_4 Unique Intensity	MIAPACA_AG205_5 Unique Intensity	PGRMC1_1 Unique Intensity	PGRMC1_2 Unique Intensity	PGRMC1_3 Unique Intensity	PGRMC1_4 Unique Intensity	PGRMC1_5 Unique Intensity	PGRMC1_AG205_1 Unique Intensity	PGRMC1_AG205_2 Unique Intensity	PGRMC1_AG205_3 Unique Intensity	PGRMC1_AG205_4 Unique Intensity	PGRMC1_AG205_5 Unique Intensity	MIAPACA_1 Total Intensity	MIAPACA_2 Total Intensity	MIAPACA_3 Total Intensity	MIAPACA_4 Total Intensity	MIAPACA_5 Total Intensity	MIAPACA_AG205_1 Total Intensity	MIAPACA_AG205_2 Total Intensity	MIAPACA_AG205_3 Total Intensity	MIAPACA_AG205_4 Total Intensity	MIAPACA_AG205_5 Total Intensity	PGRMC1_1 Total Intensity	PGRMC1_2 Total Intensity	PGRMC1_3 Total Intensity	PGRMC1_4 Total Intensity	PGRMC1_5 Total Intensity	PGRMC1_AG205_1 Total Intensity	PGRMC1_AG205_2 Total Intensity	PGRMC1_AG205_3 Total Intensity	PGRMC1_AG205_4 Total Intensity	PGRMC1_AG205_5 Total Intensity	Indistinguishable Proteins
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	22.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0000	0.9990	5	40	40	40	4	4	4	3	5	2	3	3	2	2	0	0	0	2	0	2	1	0	1	2	4	4	4	3	5	2	3	3	2	2	0	0	0	2	0	2	1	0	1	2	4	4	4	3	5	2	3	3	2	2	0	0	0	2	0	2	1	0	1	2	4.9743052E7	5.8763504E7	5.3798224E7	5.6973992E7	5.395416E7	3.4287224E7	4.0455264E7	4.4182224E7	0.0	3.0833058E7	0.0	0.0	0.0	4.353484E7	0.0	3.8583668E7	0.0	0.0	0.0	5.7462428E7	4.9743052E7	5.8763504E7	5.3798224E7	5.6973992E7	5.395416E7	3.4287224E7	4.0455264E7	4.4182224E7	0.0	3.0833058E7	0.0	0.0	0.0	4.353484E7	0.0	3.8583668E7	0.0	0.0	0.0	5.7462428E7	4.9743052E7	5.8763504E7	5.3798224E7	5.6973992E7	5.395416E7	3.4287224E7	4.0455264E7	4.4182224E7	0.0	3.0833058E7	0.0	0.0	0.0	4.353484E7	0.0	3.8583668E7	0.0	0.0	0.0	5.7462428E7	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	15.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1.0000	0.9990	2	11	11	11	0	0	0	2	0	0	0	0	0	0	2	3	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	1	0	1	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9989	3	22	22	22	2	2	2	2	2	1	1	2	1	0	2	1	1	1	1	0	1	0	0	0	2	2	2	2	2	1	1	2	1	0	2	1	1	1	1	0	1	0	0	0	2	2	2	2	2	1	1	2	1	0	2	1	1	1	1	0	1	0	0	0	3.0759134E7	3.1979794E7	2.591332E7	3.4184972E7	3.37705E7	0.0	0.0	2.1887422E7	0.0	0.0	3.073257E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0759134E7	3.1979794E7	2.591332E7	3.4184972E7	3.37705E7	0.0	0.0	2.1887422E7	0.0	0.0	3.073257E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0759134E7	3.1979794E7	2.591332E7	3.4184972E7	3.37705E7	0.0	0.0	2.1887422E7	0.0	0.0	3.073257E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	11.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-IXa	1.0000	0.9986	1	3	3	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	23.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0000	0.9990	10	59	0	59	2	2	1	2	0	2	0	2	1	2	7	5	6	4	6	3	4	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	2	0	2	1	2	7	5	6	4	6	3	4	2	3	5	3.5174624E7	5.4796884E7	0.0	0.0	0.0	7.3345648E7	0.0	6.6674084E7	0.0	0.0	8.2877928E7	7.042764E7	9.2309992E7	1.06039688E8	9.3604104E7	8.0208776E7	7.967884E7	7.9427568E7	8.6711944E7	8.1314736E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5174624E7	5.4796884E7	0.0	0.0	0.0	7.3345648E7	0.0	6.6674084E7	0.0	0.0	8.2877928E7	7.042764E7	9.2309992E7	1.06039688E8	9.3604104E7	8.0208776E7	7.967884E7	7.9427568E7	8.6711944E7	8.1314736E7	sp|Q99613|EIF3C_HUMAN
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	62.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0000	0.9990	54	4950	4940	4950	261	240	260	238	253	231	240	245	255	268	223	219	208	192	225	292	275	254	313	258	260	239	259	237	251	231	239	245	255	268	223	219	208	192	225	291	275	254	313	256	261	240	260	238	253	231	240	245	255	268	223	219	208	192	225	292	275	254	313	258	6.1232343E9	6.2681364E9	6.8965386E9	6.1101696E9	6.9235784E9	6.8151045E9	6.6725064E9	7.0181253E9	7.2544174E9	7.2185651E9	4.97536E9	4.5447209E9	4.3514132E9	4.7374336E9	5.3449549E9	8.7055995E9	8.5165107E9	8.2185687E9	9.4093865E9	7.8260332E9	6.1083366E9	6.2564234E9	6.8957691E9	6.1180401E9	6.9256054E9	6.8151045E9	6.6878331E9	7.0181253E9	7.2544174E9	7.2185651E9	4.97536E9	4.5447209E9	4.3514132E9	4.7374336E9	5.3449549E9	8.7223296E9	8.5165107E9	8.2185687E9	9.4093865E9	7.8152694E9	6.1232343E9	6.2681364E9	6.8965386E9	6.1101696E9	6.9235784E9	6.8151045E9	6.6725064E9	7.0181253E9	7.2544174E9	7.2185651E9	4.97536E9	4.5447209E9	4.3514132E9	4.7374336E9	5.3449549E9	8.7055995E9	8.5165107E9	8.2185687E9	9.4093865E9	7.8260332E9	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	12.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1	1.0000	0.9990	1	13	13	13	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9173388E7	2.2382062E7	2.2257968E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9173388E7	2.2382062E7	2.2257968E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9173388E7	2.2382062E7	2.2257968E7	0.0	0.0	0.0	0.0	0.0	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	16.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0000	0.9990	3	6	6	6	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	31.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-8	1.0000	0.9990	9	75	75	75	4	4	3	3	3	3	3	4	4	3	2	1	0	1	1	7	5	6	9	9	4	4	3	3	3	3	3	4	4	3	2	1	0	1	1	7	5	6	9	9	4	4	3	3	3	3	3	4	4	3	2	1	0	1	1	7	5	6	9	9	1.1706088E8	1.273748E8	1.04187616E8	1.26201312E8	9.7153976E7	1.10910808E8	1.0303348E8	9.10174E7	1.0069808E8	9.9029344E7	5.5933756E7	0.0	0.0	0.0	0.0	1.39118928E8	1.49926704E8	1.42434576E8	1.4041128E8	1.66527472E8	1.1706088E8	1.273748E8	1.04187616E8	1.26201312E8	9.7153976E7	1.10910808E8	1.0303348E8	9.10174E7	1.0069808E8	9.9029344E7	5.5933756E7	0.0	0.0	0.0	0.0	1.39118928E8	1.49926704E8	1.42434576E8	1.4041128E8	1.66527472E8	1.1706088E8	1.273748E8	1.04187616E8	1.26201312E8	9.7153976E7	1.10910808E8	1.0303348E8	9.10174E7	1.0069808E8	9.9029344E7	5.5933756E7	0.0	0.0	0.0	0.0	1.39118928E8	1.49926704E8	1.42434576E8	1.4041128E8	1.66527472E8	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	20.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0000	0.9990	2	23	23	23	1	1	2	0	1	1	2	3	3	2	0	0	0	0	0	3	1	1	1	1	1	1	2	0	1	1	2	3	3	2	0	0	0	0	0	3	1	1	1	1	1	1	2	0	1	1	2	3	3	2	0	0	0	0	0	3	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	7.0000712E7	5.1723564E7	1.91346656E8	6.76094E7	0.0	0.0	0.0	0.0	0.0	7.9206688E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0000712E7	5.1723564E7	1.91346656E8	6.76094E7	0.0	0.0	0.0	0.0	0.0	7.9206688E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0000712E7	5.1723564E7	1.91346656E8	6.76094E7	0.0	0.0	0.0	0.0	0.0	7.9206688E7	0.0	0.0	0.0	0.0	
