Majority.protein.IDs	Protein.ID	Entry.Name	Gene.names	Protein.Length	Coverage	Organism	Protein.Existence	Description	Protein.Probability	Top.Peptide.Probability	razorUniqueCount	spectraCount	razorUniqueCount.MIAPACA_1	razorUniqueCount.MIAPACA_2	razorUniqueCount.MIAPACA_3	razorUniqueCount.MIAPACA_4	razorUniqueCount.MIAPACA_5	razorUniqueCount.MIAPACA_AG205_1	razorUniqueCount.MIAPACA_AG205_2	razorUniqueCount.MIAPACA_AG205_3	razorUniqueCount.MIAPACA_AG205_4	razorUniqueCount.MIAPACA_AG205_5	razorUniqueCount.PGRMC1_1	razorUniqueCount.PGRMC1_2	razorUniqueCount.PGRMC1_3	razorUniqueCount.PGRMC1_4	razorUniqueCount.PGRMC1_5	razorUniqueCount.PGRMC1_AG205_1	razorUniqueCount.PGRMC1_AG205_2	razorUniqueCount.PGRMC1_AG205_3	razorUniqueCount.PGRMC1_AG205_4	razorUniqueCount.PGRMC1_AG205_5	Indistinguishable.Proteins	Potential.contaminant	quantified	logFC_PGRMC1__vs__MIAPACA	AveExpr_PGRMC1__vs__MIAPACA	t_PGRMC1__vs__MIAPACA	P.Value_PGRMC1__vs__MIAPACA	adj.P.Val_PGRMC1__vs__MIAPACA	B_PGRMC1__vs__MIAPACA	logFC_PGRMC1_AG205__vs__MIAPACA_AG205	AveExpr_PGRMC1_AG205__vs__MIAPACA_AG205	t_PGRMC1_AG205__vs__MIAPACA_AG205	P.Value_PGRMC1_AG205__vs__MIAPACA_AG205	adj.P.Val_PGRMC1_AG205__vs__MIAPACA_AG205	B_PGRMC1_AG205__vs__MIAPACA_AG205	logFC_PGRMC1__vs__PGRMC1_AG205	AveExpr_PGRMC1__vs__PGRMC1_AG205	t_PGRMC1__vs__PGRMC1_AG205	P.Value_PGRMC1__vs__PGRMC1_AG205	adj.P.Val_PGRMC1__vs__PGRMC1_AG205	B_PGRMC1__vs__PGRMC1_AG205	logFC_MIAPACA__vs__MIAPACA_AG205	AveExpr_MIAPACA__vs__MIAPACA_AG205	t_MIAPACA__vs__MIAPACA_AG205	P.Value_MIAPACA__vs__MIAPACA_AG205	adj.P.Val_MIAPACA__vs__MIAPACA_AG205	B_MIAPACA__vs__MIAPACA_AG205	TotalIntensity_MIAPACA_1	TotalIntensity_MIAPACA_2	TotalIntensity_MIAPACA_3	TotalIntensity_MIAPACA_4	TotalIntensity_MIAPACA_5	TotalIntensity_MIAPACA_AG205_1	TotalIntensity_MIAPACA_AG205_2	TotalIntensity_MIAPACA_AG205_3	TotalIntensity_MIAPACA_AG205_4	TotalIntensity_MIAPACA_AG205_5	TotalIntensity_PGRMC1_1	TotalIntensity_PGRMC1_2	TotalIntensity_PGRMC1_3	TotalIntensity_PGRMC1_4	TotalIntensity_PGRMC1_5	TotalIntensity_PGRMC1_AG205_1	TotalIntensity_PGRMC1_AG205_2	TotalIntensity_PGRMC1_AG205_3	TotalIntensity_PGRMC1_AG205_4	TotalIntensity_PGRMC1_AG205_5	UniqueIntensity_MIAPACA_1	UniqueIntensity_MIAPACA_2	UniqueIntensity_MIAPACA_3	UniqueIntensity_MIAPACA_4	UniqueIntensity_MIAPACA_5	UniqueIntensity_MIAPACA_AG205_1	UniqueIntensity_MIAPACA_AG205_2	UniqueIntensity_MIAPACA_AG205_3	UniqueIntensity_MIAPACA_AG205_4	UniqueIntensity_MIAPACA_AG205_5	UniqueIntensity_PGRMC1_1	UniqueIntensity_PGRMC1_2	UniqueIntensity_PGRMC1_3	UniqueIntensity_PGRMC1_4	UniqueIntensity_PGRMC1_5	UniqueIntensity_PGRMC1_AG205_1	UniqueIntensity_PGRMC1_AG205_2	UniqueIntensity_PGRMC1_AG205_3	UniqueIntensity_PGRMC1_AG205_4	UniqueIntensity_PGRMC1_AG205_5	Intensity_MIAPACA_1	Intensity_MIAPACA_2	Intensity_MIAPACA_3	Intensity_MIAPACA_4	Intensity_MIAPACA_5	Intensity_MIAPACA_AG205_1	Intensity_MIAPACA_AG205_2	Intensity_MIAPACA_AG205_3	Intensity_MIAPACA_AG205_4	Intensity_MIAPACA_AG205_5	Intensity_PGRMC1_1	Intensity_PGRMC1_2	Intensity_PGRMC1_3	Intensity_PGRMC1_4	Intensity_PGRMC1_5	Intensity_PGRMC1_AG205_1	Intensity_PGRMC1_AG205_2	Intensity_PGRMC1_AG205_3	Intensity_PGRMC1_AG205_4	Intensity_PGRMC1_AG205_5	LFQIntensity_MIAPACA_1	LFQIntensity_MIAPACA_2	LFQIntensity_MIAPACA_3	LFQIntensity_MIAPACA_4	LFQIntensity_MIAPACA_5	LFQIntensity_MIAPACA_AG205_1	LFQIntensity_MIAPACA_AG205_2	LFQIntensity_MIAPACA_AG205_3	LFQIntensity_MIAPACA_AG205_4	LFQIntensity_MIAPACA_AG205_5	LFQIntensity_PGRMC1_1	LFQIntensity_PGRMC1_2	LFQIntensity_PGRMC1_3	LFQIntensity_PGRMC1_4	LFQIntensity_PGRMC1_5	LFQIntensity_PGRMC1_AG205_1	LFQIntensity_PGRMC1_AG205_2	LFQIntensity_PGRMC1_AG205_3	LFQIntensity_PGRMC1_AG205_4	LFQIntensity_PGRMC1_AG205_5	ImputedIntensity_MIAPACA_1	ImputedIntensity_MIAPACA_2	ImputedIntensity_MIAPACA_3	ImputedIntensity_MIAPACA_4	ImputedIntensity_MIAPACA_5	ImputedIntensity_MIAPACA_AG205_1	ImputedIntensity_MIAPACA_AG205_2	ImputedIntensity_MIAPACA_AG205_3	ImputedIntensity_MIAPACA_AG205_4	ImputedIntensity_MIAPACA_AG205_5	ImputedIntensity_PGRMC1_1	ImputedIntensity_PGRMC1_2	ImputedIntensity_PGRMC1_3	ImputedIntensity_PGRMC1_4	ImputedIntensity_PGRMC1_5	ImputedIntensity_PGRMC1_AG205_1	ImputedIntensity_PGRMC1_AG205_2	ImputedIntensity_PGRMC1_AG205_3	ImputedIntensity_PGRMC1_AG205_4	ImputedIntensity_PGRMC1_AG205_5
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	14.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	0.9995	0.9988	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	22.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1	0.999	5	40	4	4	4	3	5	2	3	3	2	2	0	0	0	2	0	2	1	0	1	2			+	-2.01226490423432	24.6951665507862	-4.70938610948455	0.00102766843247081	0.0031382562884055	-1.71704134963376	-0.0987739223765729	24.7400057533044	-0.199252395347026	0.846333253778991	0.891317592360569	-7.60513381789039	-1.00158469344713	24.1898264453926	-1.80991153498497	0.102252941827799	0.175644166204204	-6.1875241445698	0.911906288410623	25.245345858698	2.63640408652785	0.026521682264633	0.0504385564497038	-5.00270424145088	25.5679916914725	25.8084170889128	25.6810552111815	25.7638001593587	25.6852308635911	25.0311677681481	25.2698241011706	25.3969627056529	NA	24.877974646185	NA	NA	NA	25.3756670853444	NA	25.2014869655526	NA	NA	NA	25.7761156175685	25.5679916914725	25.8084170889128	25.6810552111815	25.7638001593587	25.6852308635911	25.0311677681481	25.2698241011706	25.3969627056529	NA	24.877974646185	NA	NA	NA	25.3756670853444	NA	25.2014869655526	NA	NA	NA	25.7761156175685	25.5679916914725	25.8084170889128	25.6810552111815	25.7638001593587	25.6852308635911	25.0311677681481	25.2698241011706	25.3969627056529	NA	24.877974646185	NA	NA	NA	25.3756670853444	NA	25.2014869655526	NA	NA	NA	25.7761156175685	25.5679916914725	25.8084170889128	25.6810552111815	25.7638001593587	25.6852308635911	25.0311677681481	25.2698241011706	25.3969627056529	NA	24.877974646185	NA	NA	NA	25.3756670853444	NA	25.2014869655526	NA	NA	NA	25.7761156175685	25.5679916914725	25.8084170889128	25.6810552111815	25.7638001593587	25.6852308635911	25.0311677681481	25.2698241011706	25.3969627056529	23.3710343513068	24.877974646185	22.7343483585863	23.1701379300713	23.7911298128631	25.3756670853444	23.3738873064799	25.2014869655526	24.8418375063682	23.8480552434904	23.7855986276009	25.7761156175685
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	15.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1	0.999	2	11	0	0	0	2	0	0	0	0	0	0	2	3	1	0	1	1	1	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A2RUR9|C144A_HUMAN	A2RUR9	C144A_HUMAN	CCDC144A	1427	15.1	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 144A	1	0.9952	2	11	0	0	1	1	0	1	1	1	2	0	1	0	0	0	0	1	0	2	0	0	sp|Q8IYA2|C144C_HUMAN			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	26.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	POTE ankyrin domain family member F	1	0.999	10	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	1	0	0	2				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.279437291691	36.6070898371576	36.40265820502	36.5119780771392	36.4118060279198	36.4111765685141	36.9116995541532	36.857360209187	36.8999379649923	36.6150313605632	36.1258611585386	36.4996035993637	36.3848397339264	36.5660452061089	36.5142194599993	36.5025039409767	36.6528883947632	36.5381274621542	36.5703463220537	37.1066102239795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	22.4	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0.999	3	27	0	0	0	0	0	3	2	2	2	3	0	0	0	0	0	3	3	2	3	4	sp|Q9GZQ8|MLP3B_HUMAN		+	-0.308726132531703	23.8171656040319	-1.13122472551465	0.286452420550195	0.374896255466615	-7.30648304629554	0.280370068971912	28.1031108696005	1.18011912397106	0.267118713539458	0.400252003329657	-6.91025270125693	-4.58049336632036	25.9530492209263	-15.6536109592988	4.63149128749394e-08	1.40929663462316e-06	9.19239932102802	-3.99139716481675	25.9672272527062	-18.8253675582308	1.11893193038092e-08	8.94224277790437e-07	10.6487590701025	NA	NA	NA	NA	NA	28.1627385898658	27.7851951147275	27.9041171304116	27.5660582202023	28.3965201203656	NA	NA	NA	NA	NA	28.3139429653673	28.2615684264084	27.7152536061288	27.9909618348715	28.9347526876562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.1627385898658	27.7851951147275	27.9041171304116	27.5660582202023	28.3965201203656	NA	NA	NA	NA	NA	28.3139429653673	28.2615684264084	27.7152536061288	27.9909618348715	28.9347526876562	NA	NA	NA	NA	NA	28.1627385898658	27.7851951147275	27.9041171304116	27.5660582202023	28.3965201203656	NA	NA	NA	NA	NA	28.3139429653673	28.2615684264084	27.7152536061288	27.9909618348715	28.9347526876562	23.6879676646225	24.3368100173495	24.3156976979865	24.0277044539917	23.4894635175388	28.1627385898658	27.7851951147275	27.9041171304116	27.5660582202023	28.3965201203656	23.6225195372342	23.0726543871477	24.2300398724556	23.2310705013498	24.1577283906432	28.3139429653673	28.2615684264084	27.7152536061288	27.9909618348715	28.9347526876562
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	13.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9999	0.999	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.633852758757	NA	27.0294441166461	NA	27.061664212968	27.5302179499581	27.2871375821423	NA	26.6269572364351	27.5732187507604	27.5409696685619	27.6906001597823	27.3786453137261	27.5790771906196	27.448221816416	27.269431628742	NA	NA	26.8721643050677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	13.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	0.9989	3	22	2	2	2	2	2	1	1	2	1	0	2	1	1	1	1	0	1	0	0	0			+	-0.920572619397429	24.4334093904329	-2.7478495919299	0.022020834488201	0.0430315389540074	-4.91633167281719	0.562987354125266	23.9379940021697	2.11221077938725	0.06272021679051	0.130759446901863	-5.61395020350636	-0.246364598498133	24.0963053799832	-0.69611684635554	0.503162323079829	0.615056383449088	-7.47818399978391	1.23719537502456	24.2750980126193	5.17806657261722	0.000535675872021983	0.00185526765432004	-0.92181226175293	24.8745115501025	24.9306573098423	24.6271905288493	25.0268589078633	25.0092602040005	NA	NA	24.3835987015608	NA	NA	24.8732650810357	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8745115501025	24.9306573098423	24.6271905288493	25.0268589078633	25.0092602040005	NA	NA	24.3835987015608	NA	NA	24.8732650810357	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8745115501025	24.9306573098423	24.6271905288493	25.0268589078633	25.0092602040005	NA	NA	24.3835987015608	NA	NA	24.8732650810357	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8745115501025	24.9306573098423	24.6271905288493	25.0268589078633	25.0092602040005	NA	NA	24.3835987015608	NA	NA	24.8732650810357	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8745115501025	24.9306573098423	24.6271905288493	25.0268589078633	25.0092602040005	24.0214214659075	23.0318978620289	24.3835987015608	23.4632306419657	23.3823529540723	24.8732650810357	23.5670911782024	23.5818246852031	24.7297994269986	23.113635032231	24.3781594419737	24.411836274363	23.8805635542903	24.5641070953866	23.8627720301479
sp|A9QM74|IMA8_HUMAN	A9QM74	IMA8_HUMAN	KPNA7	516	2.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-8	0.9616	0.9954	1	4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	11.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-IXa	1	0.9986	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
